ZipCode,City
91319,NewburyPark
91319,ThousandOaks
91320,NewburyPark
91320,ThousandOaks
91358,ThousandOaks
91359,ThousandOaks
91359,WestlakeVillage
91360,ThousandOaks
91361,HiddenValley
91361,LakeSherwood
91361,ThousandOaks
91361,WestlakeVillage
91362,ThousandOaks
91362,WestlakeVillage
91377,AgouraHills
91377,OakPark
93001,Ventura
93002,Ventura
93003,Ventura
93004,Ventura
93005,Ventura
93006,Ventura
93007,Ventura
93010,Camarillo
93011,Camarillo
93012,Camarillo
93015,Fillmore
93016,Fillmore
93020,Moorpark
93021,Moorpark
93022,OakView
93023,Ojai
93024,Ojai
93030,Oxnard
93031,Oxnard
93032,Oxnard
93033,Oxnard
93034,Oxnard
93035,Oxnard
93036,Oxnard
93040,Piru
93041,PointMuguNawc
93041,PortHueneme
93044,PortHueneme
93060,SantaPaula
93061,SantaPaula
93062,SimiValley
93063,SantaSusana
93063,SimiValley
93065,SimiValley
93066,Somis
93093,SimiValley
93094,SimiValley